conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1885095709575418047,Thu Jan 30 22:40:15 +0000 2025,2,Hai gaes.... jangan lupa ikut gabung diskusi menarik yach... implementasi Politik Indonesia Sebagai Anggota BRICS ..... narsumnya keren abis gaes jumat sore ini (31/1) .. Gasss https://t.co/ROGqdLtT8a,1885095709575418047,https://pbs.twimg.com/media/Gik0jrCbYAA4GIr.jpg,,in,,0,0,0,https://x.com/dpwprimajateng/status/1885095709575418047,1405306164749824000,dpwprimajateng
1884961547136680070,Thu Jan 30 13:47:08 +0000 2025,0,Ga salah indo gabung BRICS China gokil emang Kita kalah udah sejak pendidikan balita,1884961547136680070,,,in,Two Step From Hell,0,0,0,https://x.com/Lifetuneup/status/1884961547136680070,1235662090058137601,Lifetuneup
1884898657197228294,Thu Jan 30 11:02:17 +0000 2025,0,@CNNIndonesia gabung ke brics gasken,1884920062760653221,,CNNIndonesia,in,,0,0,0,https://x.com/3adhidon/status/1884920062760653221,1029360204805300226,3adhidon
1884788735239221608,Thu Jan 30 10:50:59 +0000 2025,0,@tanyarlfes yg kayak gini gabung ke BRICS bisa-bisa disetir china ,1884917218867343654,,tanyarlfes,in,,0,0,0,https://x.com/ggabiin_/status/1884917218867343654,1829065072209211394,ggabiin_
1884316259074072944,Thu Jan 30 07:55:55 +0000 2025,0,@madokafc1 Langkah jokowi selalu sepuluh langkah kedepan sudah bisa memprediksi. Makanya doi pengen langsung gabung BRICS baru di approve blm lama ini.,1884873160153317754,,madokafc1,in,,0,0,0,https://x.com/areefin_putra/status/1884873160153317754,573372126,areefin_putra
1884848487088664793,Thu Jan 30 06:17:52 +0000 2025,0,Gabung BRICS RI Cari Cara Baru Diplomasi Ekonomi Global https://t.co/3BkQbAITxL,1884848487088664793,,,in,Jakarta,0,0,1,https://x.com/BloombergTZ/status/1884848487088664793,1582972008479920129,BloombergTZ
1884757792139215017,Thu Jan 30 04:28:33 +0000 2025,0,@Sil4Ke5 @kompascom Indonesia gabung BRICS aja di X ini byk yg ngamuk ngata2in Presiden dan Menlu hehehe,1884820975273087412,,Sil4Ke5,in,Indonesia,0,0,0,https://x.com/ferascorp/status/1884820975273087412,50509502,ferascorp
1884757792139215017,Thu Jan 30 03:01:45 +0000 2025,1,@kompascom Indonesia kan sdh gabung BRICS. Mungkin kita bisa import obat dari negara anggota BRICS.,1884799130821927162,,kompascom,in,,0,1,0,https://x.com/Fajar_al_fakir/status/1884799130821927162,774880456290349056,Fajar_al_fakir
1884316259074072944,Thu Jan 30 01:49:34 +0000 2025,0,@tiramisukohi728 @madokafc1 lebih tepatnya gabung brics lebih minim resiko krn saat ini likuiditas trade global jg lg meningkat ke arah negara2 brics sama kebijakan anggota brics tidak aneh2 ke sesama anggota. gak kayak us skrg yg baru hitungan hari udah bikin kebijakan aneh2 bahkan sekutu pun kena imbasny,1884780967539438014,,tiramisukohi728,in,,0,0,0,https://x.com/_miomr__/status/1884780967539438014,66316616,_miomr__
1884316259074072944,Wed Jan 29 17:52:32 +0000 2025,18,@tiramisukohi728 @madokafc1 masalah bekingan dan jg posisi indo. andai kata indo lebih deket ke us secara ekonomi dan gk jdi merapaat ke brics. ya gk ada jaminan jg us gk bakal ganggu indo dikemudian hari. krn trump ini gila mau sekutu pun dia hajar demi dia dan usa. ya plg benr saat ini ya gabung brics,1884660918346539418,,tiramisukohi728,in,,0,1,0,https://x.com/_miomr__/status/1884660918346539418,66316616,_miomr__
